"PARTNUMBER","HOSTLOCID","ERDAT","KWMENG"
"零件代码","仓库","日期","预测值"
"6RD959801E","8023","202101","6.376052"
"6RD959801E","8023","202202","0"
"6RD959801E","8023","202208","13"
"6RD959801E","8023","202212","0"
"6RD959801E","8023","202301","0"
"6RD959801E","8023","202310","0"
"6RD959801E","8023","202404","0"
"6RD959801E","8025","201606","5"
"6RD959801E","8025","201802","6.25"
"6RD959801E","8025","201807","5.75"
"6RD959801E","8025","201809","5.099839"
"6RD959801E","8025","201811","5.884053"
"6RD959801E","8025","201912","3.232318"
"6RD959801E","8031","201605","1.333333"
"6RD959801E","8031","201609","1.6"
"6RD959801E","8031","201704","3.87747"
"6RD959801E","8031","201811","5.496667"
"6RD959801E","8031","201908","17.25"
"6RD959801E","8031","201909","18"
"6RD959801E","8031","202006","0"
"6RD959801E","8031","202008","0"
"6RD959801E","8031","202009","0"
"6RD959801E","5002","201904","16.09"
"6RD959801E","5002","201909","0.409679"
"6RD959801E","5002","201910","8.143333"
"6RD959801E","5002","202009","6.21"
"11D941078C","1000-2","202308","2.892857"
"3CC945208A","1000-1","202302","4.666667"
"3CC945208A","1000-1","202310","7.533333"
"3CC945208A","1000-1","202405","7.533333"
"3CC945208A","1000-1","202406","7.533333"
"3CC945208A","3001","202307","2.266667"
"3CC945208A","3001","202310","3.916667"
"3CC945208A","3001","202311","3.916667"
"3CC945208A","3001","202405","3.916667"
"3CC945208A","5001","202307","2.8"
"3CC945208A","6000","202309","3.333333"
"3CC945208A","8011","202402","3.571429"
"3CC945208A","8011","202409","3.571429"
"3CC945208A","8012","202312","2.8"
"3CC945208A","8012","202401","2.8"
"3CC945208A","8012","202402","2.8"
"3CC945208A","8012","202404","2.8"
"3CC945208A","8012","202407","2.8"
"3CC945208A","8013","202307","1"
"3CC945208A","8013","202401","1.333333"
"3CC945208A","8013","202402","1.333333"
"3CC945208A","8013","202409","1.333333"
"3CC945208A","8015","202312","2.777778"
"3CC945208A","8015","202402","2.777778"
"3CC945208A","8022","202311","3.090909"
"3CC945208A","8022","202406","3.090909"
"3CC945208A","8023","202406","10.309091"
"6RD959801E","1000-1","201702","0.066667"
"6RD959801E","1000-1","201704","0.035714"
"6RD959801E","1000-1","201710","0.010989"
"6RD959801E","1000-1","201801","0.007353"
"6RD959801E","1000-1","201802","0.006536"
"6RD959801E","1000-1","201909",""
"6RD959801E","1000-1","202005",""
"6RD959801E","1000-1","202106",""
"6RD959801E","1000-1","202302","123.25"
"6RD959801E","1000-1","202308","71.041529"
"6RD959801E","1000-1","202312","111.03"
"6RD959801E","1000-1","202405","111.03"
"6RD959801E","3001","201610","18.036232"
"6RD959801E","3001","201612","57.603966"
"6RD959801E","3001","201703","95.430865"
"6RD959801E","3001","201903","45.402093"
"6RD959801E","3001","201909","21.003488"
"6RD959801E","3001","201910","1.183481"
"6RD959801E","3001","202002","11.895918"
"6RD959801E","3002","201904","1.066667"
"6RD959801E","3002","201907","0.79"
"6RD959801E","3002","201908","0.716667"
"6RD959801E","3002","201911","0.503333"
"6RD959801E","5001","201608","32.5"
"6RD959801E","5001","201610","23.74"
"6RD959801E","5001","201709","105.787653"
"6RD959801E","5001","201808","126.073333"
"6RD959801E","5001","201811","47.75"
"6RD959801E","5001","202002","38.394959"
"6RD959801E","5001","202107","32.228904"
"6RD959801E","6000","201611","41.32485"
"6RD959801E","6000","201809","11.75"
"6RD959801E","6000","201902","24.313333"
"6RD959801E","6000","202003","0.456132"
"6RD959801E","6000","202005","6.177419"
"6RD959801E","6000","202101","11.33871"
"6RD959801E","6000","202107","7.126928"
"6RD959801E","6000","202211","0"
"6RD959801E","6000","202311","0"
"6RD959801E","6000","202403","0"
"6RD959801E","8011","201605","4"
"6RD959801E","8011","201702","77.005915"
"6RD959801E","8011","201704","73.929439"
"6RD959801E","8011","201801","43.790323"
"6RD959801E","8011","201812","40.37"
"6RD959801E","8011","201904","44.52"
"6RD959801E","8011","202002","17.75"
"6RD959801E","8011","202003","17.75"
"6RD959801E","8011","202006","31.75"
"6RD959801E","8011","202010","15"
"6RD959801E","8011","202103","19.54"
"6RD959801E","8011","202109","8.440678"
"6RD959801E","8012","201609","7.533333"
"6RD959801E","8012","201612","36.451364"
"6RD959801E","8012","201701","42.231443"
"6RD959801E","8012","201705","55.439423"
"6RD959801E","8012","201809","34.58"
"6RD959801E","8012","201908","33.237"
"6RD959801E","8012","201911","16.816613"
"6RD959801E","8012","202001","12.292337"
"6RD959801E","8012","202103","5.470339"
"6RD959801E","8012","202105","3.963333"
"6RD959801E","8013","201801","23.655482"
"6RD959801E","8013","201808","13.611211"
"6RD959801E","8013","201904","3.268391"
"6RD959801E","8013","202002","0.888211"
"6RD959801E","8013","202009","1.566667"
"6RD959801E","8013","202010","1.446667"
"6RD959801E","8013","202109","1"
"6RD959801E","8013","202110","0.833333"
"6RD959801E","8015","201611","26.290958"
"6RD959801E","8015","201705","46.435484"
"6RD959801E","8015","201712","33.580734"
"6RD959801E","8015","201806","47.948525"
"6RD959801E","8015","202002","47.040095"
"6RD959801E","8015","202008","24.803333"
"6RD959801E","8015","202103","32.3798"
"6RD959801E","8015","202109","13.991463"
"6RD959801E","8015","202305","0"
"6RD959801E","8015","202311","0"
"6RD959801E","8015","202401","0"
"6RD959801E","8015","202409","0"
"6RD959801E","8021","201704","23.289203"
"6RD959801E","8021","201711","12.467117"
"6RD959801E","8021","201712","13.400457"
"6RD959801E","8021","201807","13.75"
"6RD959801E","8021","201902","13.461704"
"6RD959801E","8021","202011","13.75"
"6RD959801E","8021","202102","9.070071"
"6RD959801E","8021","202103","11.343992"
"6RD959801E","8021","202107","5.11992"
"6RD959801E","8022","201610","12.12987"
"6RD959801E","8022","201703","30.762362"
"6RD959801E","8022","201801","29.294006"
"6RD959801E","8022","201802","30.835205"
"6RD959801E","8022","201809","30.263333"
"6RD959801E","8022","201902","27.126667"
"6RD959801E","8022","202001","18.348261"
"6RD959801E","8022","202009","23.25"
"6RD959801E","8022","202101","41.25"
"6RD959801E","8022","202110","25.75"
"6RD959801E","8022","202205","24.75"
"6RD959801E","8023","201607","11.666667"
"6RD959801E","8023","201701","17.924715"
"6RD959801E","8023","201707","13.337305"
"6RD959801E","8023","201709","8.627131"
"6RD959801E","8023","201806","7.25"
"6RD959801E","8023","201812","8.629512"
"6RD959801E","8023","201908","8.13"
"6RD959801E","8023","201909","7.923333"
"6RD959801E","8023","201911","7.886667"
"6RD959801E","8023","202001","13.384829"
"6RD959801E","8023","202003","12.121369"
"6RD959801E","8023","202012","3.730494"
"6RD959801E","8023","202105","4.526775"
"6RD959801E","8023","202108","0.506994"
"6RD959801E","8023","202110","2.867456"
"6RD959801E","8023","202206","13.354839"
"6RD959801E","8025","201801","5.25"
"6RD959801E","8025","201804","5.6"
"6RD959801E","8025","201810","5.405335"
"6RD959801E","8025","201903","3.75"
"6RD959801E","8025","201904","4.25"
"6RD959801E","8031","201606","1.166667"
"6RD959801E","8031","201608","1.466667"
"6RD959801E","8031","201804","9.931917"
"6RD959801E","8031","201805","10.224486"
"6RD959801E","8031","201807","7.349783"
"6RD959801E","8031","202011","0"
"6RD959801E","8031","202106","0"
"6RD959801E","8031","202107","0"
"6RD959801E","5002","201906","0"
"6RD959801E","5002","201908","0"
"6RD959801E","5002","201911","9.1"
"6RD959801E","5002","201912","8.13"
"6RD959801E","5002","202002","5.636667"
"6RD959801E","5002","202007","5.87"
"6RD959801E","5002","202012","3.75"
"6RD959801E","5002","202108","3.5"
"6RD959801E","5002","202109","3.75"
"6RD959801E","5002","202207","23.398305"
"6RD959801E","5002","202208","23.190678"
"11D941078C","1000-2","202307","1.857143"
"3CC945208A","1000-1","202304","10.5"
"3CC945208A","1000-1","202407","7.533333"
"3CC945208A","3001","202406","3.916667"
"3CC945208A","6000","202405","5.666667"
"3CC945208A","8011","202312","3.571429"
"3CC945208A","8012","202307","2"
"3CC945208A","8012","202309","2.666667"
"3CC945208A","8012","202310","2.8"
"3CC945208A","8013","202403","1.333333"
"3CC945208A","8015","202307","1.066667"
"3CC945208A","8015","202401","2.777778"
"3CC945208A","8015","202403","2.777778"
"3CC945208A","8022","202309","1.777778"
"3CC945208A","8022","202310","3.090909"
"3CC945208A","8022","202401","3.090909"
"3CC945208A","8023","202407","10.309091"
"3CC945208A","8023","202408","10.309091"
"3CC945208A","5002","202311","0.047619"
"3CC945208A","5002","202401","0.047619"
"3CC945208A","5002","202407","0.047619"
"6RD959801E","1000-1","201611","0.333333"
"6RD959801E","1000-1","201709","0.012821"
"6RD959801E","1000-1","201803","0"
"6RD959801E","1000-1","201901",""
"6RD959801E","1000-1","201905",""
"6RD959801E","1000-1","202006",""
"6RD959801E","1000-1","202201","216.361597"
"6RD959801E","1000-1","202210","163.5"
"6RD959801E","1000-1","202212","131"
"6RD959801E","3001","201708","32.115752"
"6RD959801E","3001","201902","30.946667"
"6RD959801E","3001","202001","13.977144"
"6RD959801E","3001","202007","2.826377"
"6RD959801E","3001","202010","2.271871"
"6RD959801E","3001","202012","3.701085"
"6RD959801E","3001","202105","7.515454"
"6RD959801E","3002","201806","2"
"6RD959801E","3002","201901","1.13"
"6RD959801E","3002","201909","0.643333"
"6RD959801E","5001","201701","293.401242"
