"MATNR","TO_CHAR(ERDAT,'YYYYMMDD')","KWMENG","SEND_LOCID","ABC_HITS_NETWORK","ABC_COST","ABC_DEMAND","P4","END_DATE","HOSTPLANNERCODEID"
"零件号","日期","需求数量","仓库","需求频次abc分类","价格abc分类","需求数量ABC分类","零件代码第四位","EOP","计划员"
"6RD959801E","20220622","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220622","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220622","50","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220625","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220811","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220811","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220809","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220914","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220913","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220915","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221102","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221103","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20200901","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20211221","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220926","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20191014","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180119","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180903","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161207","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20181017","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190304","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170111","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190108","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180803","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170227","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170117","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180717","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161219","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180201","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220210","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171205","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161206","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170517","3","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170505","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170125","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170206","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180417","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170620","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190227","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170703","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171101","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190801","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170109","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180129","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170319","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20190301","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161226","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180227","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180502","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170421","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180116","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161128","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160524","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20161208","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180123","10","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170802","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180222","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170314","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180323","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171120","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171215","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20181022","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170812","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20200422","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220120","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220311","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220310","5","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20220309","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160705","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20180129","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20221117","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20230129","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20170315","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171212","1","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20160706","2","1000-1","B","C","FAST","9","0619","043"
"6RD959801E","20171207","1","1000-1","B","C","FAST","9","0619","043"
