,零件号,日期,仓库,需求数量
673,6RD959801E,2017-03-31,1000-1,27
674,6RD959801E,2017-04-01,1000-1,4
675,6RD959801E,2017-04-04,1000-1,3
676,6RD959801E,2017-04-05,1000-1,34
677,6RD959801E,2017-04-06,1000-1,13
678,6RD959801E,2017-04-07,1000-1,10
679,6RD959801E,2017-04-08,1000-1,1
680,6RD959801E,2017-04-09,1000-1,11
681,6RD959801E,2017-04-10,1000-1,18
682,6RD959801E,2017-04-11,1000-1,17
683,6RD959801E,2017-04-12,1000-1,27
684,6RD959801E,2017-04-13,1000-1,16
685,6RD959801E,2017-04-14,1000-1,9
686,6RD959801E,2017-04-16,1000-1,4
687,6RD959801E,2017-04-17,1000-1,19
688,6RD959801E,2017-04-18,1000-1,8
689,6RD959801E,2017-04-19,1000-1,4
690,6RD959801E,2017-04-20,1000-1,6
691,6RD959801E,2017-04-21,1000-1,9
692,6RD959801E,2017-04-22,1000-1,7
693,6RD959801E,2017-04-23,1000-1,5
694,6RD959801E,2017-04-24,1000-1,17
695,6RD959801E,2017-04-25,1000-1,10
696,6RD959801E,2017-04-26,1000-1,10
697,6RD959801E,2017-04-27,1000-1,9
698,6RD959801E,2017-04-28,1000-1,3
699,6RD959801E,2017-05-01,1000-1,6
700,6RD959801E,2017-05-02,1000-1,62
701,6RD959801E,2017-05-03,1000-1,14
702,6RD959801E,2017-05-04,1000-1,24
703,6RD959801E,2017-05-05,1000-1,4
704,6RD959801E,2017-05-07,1000-1,6
705,6RD959801E,2017-05-08,1000-1,15
706,6RD959801E,2017-05-09,1000-1,8
707,6RD959801E,2017-05-10,1000-1,8
708,6RD959801E,2017-05-11,1000-1,7
709,6RD959801E,2017-05-12,1000-1,2
710,6RD959801E,2017-05-14,1000-1,4
711,6RD959801E,2017-05-15,1000-1,18
712,6RD959801E,2017-05-16,1000-1,19
713,6RD959801E,2017-05-17,1000-1,6
714,6RD959801E,2017-05-18,1000-1,9
715,6RD959801E,2017-05-19,1000-1,4
716,6RD959801E,2017-05-21,1000-1,5
717,6RD959801E,2017-05-22,1000-1,11
718,6RD959801E,2017-05-23,1000-1,25
719,6RD959801E,2017-05-24,1000-1,11
720,6RD959801E,2017-05-25,1000-1,3
721,6RD959801E,2017-05-26,1000-1,6
722,6RD959801E,2017-05-27,1000-1,1
723,6RD959801E,2017-05-29,1000-1,1
724,6RD959801E,2017-05-30,1000-1,1
725,6RD959801E,2017-05-31,1000-1,6
726,6RD959801E,2017-06-01,1000-1,9
727,6RD959801E,2017-06-02,1000-1,1
728,6RD959801E,2017-06-04,1000-1,2
729,6RD959801E,2017-06-05,1000-1,24
730,6RD959801E,2017-06-06,1000-1,12
731,6RD959801E,2017-06-07,1000-1,25
732,6RD959801E,2017-06-08,1000-1,3
733,6RD959801E,2017-06-09,1000-1,7
734,6RD959801E,2017-06-11,1000-1,10
735,6RD959801E,2017-06-12,1000-1,17
736,6RD959801E,2017-06-13,1000-1,24
737,6RD959801E,2017-06-14,1000-1,22
738,6RD959801E,2017-06-15,1000-1,5
739,6RD959801E,2017-06-16,1000-1,9
740,6RD959801E,2017-06-17,1000-1,1
741,6RD959801E,2017-06-18,1000-1,6
742,6RD959801E,2017-06-19,1000-1,11
743,6RD959801E,2017-06-20,1000-1,14
744,6RD959801E,2017-06-21,1000-1,46
745,6RD959801E,2017-06-22,1000-1,59
746,6RD959801E,2017-06-23,1000-1,67
747,6RD959801E,2017-06-25,1000-1,2
748,6RD959801E,2017-06-26,1000-1,11
